"LH_RowNumber","LH_AnimalID","LH_AnimalCode","OtherID","Sex","EarMark","DOB","FirstDate","DateAdult","CurrentGroup","BirthGroup","LH_MotherID","LH_FatherID","EmigrationNatalDate","ImmigrationGroup1","ImmigrationDate1","LastDate1","ImmigrationGroup2","ImmigrationDate2","LastDate2","ImmigrationGroup3","ImmigrationDate3","LastDate3","ImmigrationGroup4","ImmigrationDate4","LastDate4","ReliableData","Comments","AnimalID_Std"
221,"Unwabo","Unw",NA,"M",NA,2012-10-22,2012-10-22,NA,NA,"AK","Ulaka","Yster",2017-05-03,"BD",2017-05-04,2017-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Unwabo"
222,"Alsiende","Alsi",NA,"F",NA,2012-10-23,2012-10-23,NA,NA,"BD","Asis",NA,NA,NA,NA,2015-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Alsiende"
223,"Rheban","Rhe",NA,"M","1",2012-10-27,2012-10-27,NA,NA,"NH","Roma","Auckland",2017-12-05,"BD",2017-12-05,2021-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went back to NH a few times shortly after migration","Rheban"
224,"Baby Lau 2012","BLau12",NA,NA,NA,2012-10-29,2012-10-29,NA,NA,"NH","Lausanne",NA,NA,NA,NA,2012-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Babylau2012"
225,"Mevrou","Mevr",NA,"F",NA,2012-10-29,2012-10-29,NA,NA,"BD","Mooi",NA,NA,NA,NA,2016-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded a few more times in BD months after official last seen, but maybe errors, likely dead","Mevrou"
226,"Baby Kai 2012","BKai12",NA,NA,NA,1905-07-02,2012-11-01,NA,NA,"BD","Kaiki",NA,2012-11-15,"InBetweeners",NA,2012-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumably was in new split group with mother","Babykai2012"
227,"Ndonsa","Ndon",NA,"F",NA,NA,2012-11-02,NA,"AK","AK","Nkosikasi","Sanbonani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ndonsa"
228,"Zhengzhou","Zhe",NA,"M",NA,2012-11-02,2012-11-02,NA,NA,"NH","Zara",NA,2013-08-02,NA,NA,2013-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Zhengzhou"
229,"Ghozololo","Gho",NA,"M",NA,2012-11-05,2012-11-05,NA,NA,"AK","Ghangaan","Yster",2016-01-28,NA,NA,2016-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maybe migrated, but probably died","Ghozololo"
230,"Xian","Xian",NA,"F",NA,2012-11-05,2012-11-05,NA,"NH","NH","XaiXai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Xian"
231,"Ruby","Ruby",NA,"F",NA,NA,2012-11-08,NA,NA,"LT","Roxanne",NA,2018-02-21,"LTSplit",2018-02-21,2018-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"her last seen in LM which is the 03/03/2018","Ruby"
232,"Laurel","Laur",NA,"F",NA,NA,2012-11-12,NA,NA,"LT","Lizz",NA,NA,NA,NA,2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2010, fate unknown. Presumed dead.","Laurel"
233,"Vulkaan","Vul",NA,"M",NA,2012-11-14,2012-11-14,NA,"NH","BD","Vroutjie","Pik",2018-06-06,"NH",2020-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded a few more times in BD months after official dept date, but maybe errors. Recorded in NH logbook in May 2020 as ""Oslo"" and before that as male with left ear almost off.","Vulkaan"
234,"Bushy","Bush",NA,"F",NA,NA,2012-11-15,NA,NA,"LT",NA,NA,2015-03-02,"FirstLTsplinter",NA,2015-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seen in splinter group in July 2015","Bushy"
235,"India","Indi",NA,"F",NA,NA,2012-11-15,NA,NA,"LT","Diana",NA,NA,NA,NA,2017-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2009. Died on the 19/12/2017.","India"
236,"Rakker","Rak",NA,"M",NA,2012-11-16,2012-11-16,NA,NA,"BD","Rissiepit",NA,2018-05-08,NA,NA,2018-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded once more in BD, but maybe an error","Rakker"
237,"Hlokoloza","Hlo","Hlebe","M",NA,2012-12-23,2012-12-23,NA,NA,"AK","Hleka","Yster",2017-05-16,"BD",2017-05-16,2019-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hlokoloza"
238,"Pieperig","Piep",NA,"F",NA,NA,2013-01-18,NA,"BD","BD","Prinses","Rusk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data missing on the birth - first recorded found as 1yo in logbook","Pieperig"
239,"Yenissei","Yeni",NA,"F",NA,NA,2013-01-28,NA,NA,"KB",NA,NA,NA,NA,NA,2019-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Yenissei"
240,"Kaya","Kaya",NA,"F",NA,2013-02-07,2013-02-07,NA,NA,"LT",NA,NA,2018-02-21,"LTsplit",2018-02-21,2018-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LTSplit not followed","Kaya"
241,"Aare","Aare",NA,"F",NA,NA,2013-02-08,NA,"KB","KB","Amazon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Aare"
242,"Little Z",NA,NA,"M",NA,NA,2013-02-08,NA,NA,"KB",NA,NA,2013-09-20,NA,NA,2013-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born Dec 2009; Unclear if actually existed or mistaken for another juvenile; would NOT recommend using his data","Littlez"
243,"Zaire","Zair",NA,"F",NA,NA,2013-02-08,NA,NA,"KB","Zeia",NA,2015-12-15,"KBSplit",NA,2015-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KB split, not seen again","Zaire"
244,"Andrew","And",NA,"M",NA,NA,2013-02-09,NA,NA,"LT",NA,NA,2014-04-12,NA,NA,2014-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Andrew"
245,"Noah","Noa",NA,"M",NA,NA,2013-02-09,NA,NA,"LT","Nala",NA,2018-02-20,"LTsplit",NA,2018-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Migrated on the same day LT split, recorded once in May 2018 in LT, likely an error","Noah"
246,"Yalu","Yalu",NA,"F",NA,NA,2013-02-09,NA,NA,"KB","Yenissei",NA,NA,NA,NA,2021-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","collar signal points to a rock Pyton 18/01/2021","Yalu"
247,"Pearl","Pear","Little Almond","F",NA,NA,2013-04-24,NA,NA,"KB",NA,"Nile",2015-12-15,"KBSplit",NA,2015-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prob born Dec 2009; renamed Pearl (2015); left with KB split, not seen again","Pearl"
248,"Mara","Mara","Spotty arm","F",NA,NA,2013-05-06,NA,"KB","KB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","likely called spotty arm early on - Iding of her before May 2013 likely unreliable","Mara"
249,"Fudu","Fud",NA,"M",NA,NA,2013-06-11,NA,NA,NA,NA,NA,NA,"AK",2013-06-11,2015-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Fudu"
250,"Cancun","Can",NA,"M",NA,NA,2013-06-28,NA,NA,NA,NA,NA,NA,"NH",2013-06-28,2016-02-25,"AK",2016-03-14,2017-02-16,"NH",2017-05-30,2018-12-17,"NH",2019-06-17,2021-01-27,NA,"Recorded once in AK on 2017/03/24","Cancun"
251,"Baby Ham 2013","BHam13",NA,"F",NA,2013-10-03,2013-10-03,NA,NA,"AK","Hamba",NA,NA,NA,NA,2013-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Found dead on 10/11/2013","Babyham2013"
252,"Baby Beminde 2013","BBem13",NA,NA,NA,2013-10-22,2013-10-22,NA,NA,"BD","Beminde",NA,NA,NA,NA,2013-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baby found dead","Babybeminde2013"
253,"Baby Gaga 2013","BGag13",NA,"F",NA,2013-10-24,2013-10-24,NA,NA,"AK","Gagasa",NA,NA,NA,NA,2013-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last seen on 6/12/13","Babygaga2013"
254,"Boston","Bos",NA,"M",NA,2013-10-28,2013-10-28,NA,NA,"NH","Bogota",NA,2018-05-23,NA,NA,2018-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Boston"
255,"Jixi","Jix",NA,"M","1",2013-10-31,2013-10-31,NA,NA,"NH","Jakarta","Chernobyl",2018-05-30,NA,NA,2018-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Jixi"
256,"Uji","Uji",NA,"M",NA,2013-10-31,2013-10-31,NA,NA,"NH","Uppsala","Milano",2018-05-18,"Jacaranda",2018-05-26,2018-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seen 26th of May 2018 unhabituated gr Jakaranda","Uji"
257,"Ilonga","Ilon",NA,"F",NA,2013-11-04,2013-11-04,NA,NA,"AK","Isilonda","Quito",2016-01-22,"IFamily",NA,2016-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22/01/2016 Last time w/ rest of AK, 29.06.2016 = last recorded date of Ifamily","Ilonga"
258,"Aapie","Aapi",NA,"F",NA,2013-11-11,2013-11-11,NA,"BD","BD","Asis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Aapie"
259,"Avon","Avo","Appy","M",NA,2013-11-11,2013-11-11,NA,NA,"KB","Amazon","Nile",2018-04-06,"NH",2018-05-14,2018-06-12,"Ifamily",2018-06-12,2020-06-16,NA,NA,NA,NA,NA,NA,NA,"Named Appy until 14/12/14 After leaving NH, Ifamily, seen once more in KB after dept date on 2018/05/01,  seen in bge with NH on 08.12.2018 and in Ifamil on 2/2/19; seen on 16/06/20","Avon"
260,"Zankara","Zank",NA,"F",NA,2013-11-11,2013-11-11,NA,NA,"KB","Zeia",NA,2015-12-15,"KBSplit",NA,2015-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KB split","Zankara"
261,"Baby Wietnie 2013","BWie13",NA,"F",NA,2013-11-12,2013-11-12,NA,NA,"BD","Wietnie",NA,NA,NA,NA,2013-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baby found dead, genetic sample taken","Babywietnie2013"
262,"Glastonbury","Gla",NA,"M",NA,2013-11-12,2013-11-12,NA,NA,"NH","Geneva","Ertjies",2018-05-14,"Jacaranda",2018-05-28,2018-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seen 26th of May 2018 unhabituated gr Jakaranda","Glastonbury"
263,"Mbazwane","Mba",NA,"M",NA,2013-11-15,2013-11-15,NA,NA,"AK","Mamoobi","Elton",2016-01-16,"Ifamily",NA,2016-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16/01/2016 - last time w/ AK, stayed with I family but gp not followed","Mbazwane"
264,"Rennes","Renn",NA,"F",NA,2013-11-15,2013-11-15,NA,NA,"NH","Roma","Milano",NA,"Rfamily",NA,2021-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disappeared with Reva, Roslin and Lima","Rennes"
265,"Inkwazi","Inkw",NA,"F",NA,2013-11-18,2013-11-18,NA,NA,"AK","Inhlanhla","Yster",2016-01-22,"IFamily",NA,2016-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22/01/2016 Last time w/ rest of AK, 29.06.2016 = last recorded date of IFamily","Inkwazi"
266,"Praia","Prai",NA,"F",NA,2013-11-19,2013-11-19,NA,"NH","NH","Pretoria","Ertjies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Praia"
267,"Xalapa","Xala",NA,"F",NA,2013-11-20,2013-11-20,NA,"NH","NH","XaiXai","Milano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Xalapa"
268,"Potjie","Potj",NA,"F",NA,2013-11-23,2013-11-23,NA,NA,"BD","Prinses","Okucane",NA,NA,NA,2022-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Potjie"
269,"Zanzibar","Zan",NA,"M",NA,2013-11-25,2013-11-25,NA,NA,"NH","Zara",NA,2018-05-28,NA,NA,2018-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maybe seen one more time 08.06.2018 but maybe error?","Zanzibar"
270,"Camilla","Cami",NA,"F","22",NA,2013-11-27,NA,NA,"LT",NA,NA,NA,"FirstLTsplinter",NA,2015-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","First recorded 2011? OldCamilla? In splinter group at least since february 2015, unclear which data is hers and which is Jenny's ","Camilla"
271,"Mississipi","Mis",NA,"M",NA,2013-11-27,2013-11-27,NA,NA,"KB","Mara",NA,2018-06-16,NA,NA,2018-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born during the night. VERY shy, not seen in group until 2013/05/06","Mississipi"
272,"Digby","Digb","Rhiannon","F",NA,NA,2014-01-08,NA,"LT","LT","Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Digby"
273,"Yangtze","Yan",NA,"M",NA,NA,2014-01-27,NA,NA,"KB","Yenissei",NA,2018-05-01,"NH",2018-05-14,2020-01-27,"AK",2020-03-04,2021-11-22,NA,NA,NA,NA,NA,NA,NA,"","Yangtze"
274,"Shitface","Shi",NA,"M",NA,NA,2014-01-28,NA,NA,"LT",NA,NA,2017-01-24,NA,NA,2017-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2011","Shitface"
275,"Oliver","Oli",NA,"M",NA,NA,2014-02-04,NA,NA,"LT",NA,NA,2014-06-03,NA,NA,2014-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Oliver"
276,"Rose-Mary","Rose","Daria","F",NA,NA,2014-02-11,NA,NA,"LT",NA,NA,2018-02-21,"LTsplit",NA,2018-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born 2011","Rosemary"
277,"Moonie","Moon","Baby Tang 2012","F",NA,NA,2014-02-28,NA,NA,"KB","Mara","Danube",NA,NA,NA,2015-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","probably dead, body not found, probably referred to as baby Tang 2012 before Mara was discovered and we realised it was her baby","Moonie"
278,"Jagerbomb","Jag",NA,"M",NA,NA,2014-05-08,NA,NA,NA,NA,NA,NA,"BD",2014-05-08,2015-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Jagerbomb"
279,"DownLip","Dow",NA,"M",NA,NA,2014-05-28,NA,NA,NA,NA,NA,NA,"LT",2014-05-28,2014-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Downlip"
280,"Tere","Tere","F10","F",NA,NA,2014-05-30,NA,NA,"LT",NA,NA,NA,NA,NA,2015-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fate unknown","Tere"
281,"Lefty","Lef",NA,"M",NA,NA,2014-05-31,NA,NA,"LT",NA,NA,2017-01-16,NA,NA,2017-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Lefty"
282,"Umzali","Umz",NA,"M",NA,NA,2014-06-09,NA,NA,NA,NA,NA,NA,"AK",2014-06-09,2015-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Umzali"
283,"Dapper","Dap",NA,"M",NA,NA,2014-07-01,NA,NA,NA,NA,NA,NA,"BD",2014-07-01,2016-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Dapper"
284,"Adam","Ada","Uplip","M",NA,NA,2014-08-14,NA,NA,NA,NA,NA,NA,"LT",2014-08-14,2016-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not clear if he appeared before official date, nothing in logbook/remarks to say first seen","Adam"
285,"Kenneth","Ken","Joe","M",NA,NA,2014-08-15,NA,NA,"LT","Kaya",NA,2015-11-18,NA,NA,2015-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Mixed between Joe/Kenneth? no records between May and Spet 2015 - was this just an error?  - unclear if this has been rectified in the scan data or not","Kenneth"
286,"Liam","Lia",NA,"M",NA,NA,2014-08-15,NA,NA,"LT",NA,NA,2018-12-07,NA,NA,2018-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Mother = Jenny? Tbc with DNA - Unknown fate - scan data collected with Liam name for Kenneth/Joe??","Liam"
287,"Iggy","Igg",NA,"M",NA,NA,2014-08-18,NA,NA,"LT","India",NA,2019-03-15,NA,NA,2019-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Iggy"
288,"Jenny","Jenn","OldCamilla","F",NA,NA,2011-11-16,NA,NA,"LT",NA,NA,2018-02-20,"LTSplit",NA,2018-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Unclear when switch from Cami to Jenny happened -  OldCamilla = Jenny","Jenny"
289,"Daisy","Dais",NA,"F",NA,NA,2014-08-26,NA,"LT","LT","Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Daisy"
290,"Joe","Joe",NA,"M",NA,NA,2014-09-18,NA,NA,"LT",NA,NA,2018-12-07,NA,NA,2018-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Mother = Kaya? Probably scanned as Liam from april 2015 - unclear if this has been rectified in the scan data or not","Joe"
291,"Vance","Van",NA,"M",NA,NA,2014-09-20,NA,NA,"LT","Victoria",NA,2015-11-05,NA,NA,2015-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Fate unknown, seen v sporadically in last months in LT (unclear if errors or not)","Vance"
292,"Humusha","Hum",NA,"M",NA,2014-09-22,2014-09-22,NA,NA,"AK","Hamba",NA,2016-05-21,NA,NA,2016-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Humusha"
293,"Zinkwazi","Zink",NA,"F",NA,2014-10-01,2014-10-01,NA,NA,"KB","Zeia","Yster",NA,"KBSplit",NA,2015-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KB split, not seen again","Zinkwazi"
294,"Madagascar","Mad",NA,"M",NA,NA,2014-10-08,NA,NA,NA,NA,NA,NA,"CR",2014-10-08,NA,"BD",2014-09-01,2017-03-07,NA,NA,NA,NA,NA,NA,NA,"Was recognised in BD as from CR, but no CR data for him -> check broken tail male","Madagascar"
295,"Baby Yaou 2014","BYao14",NA,NA,NA,2014-10-09,2014-10-09,NA,NA,"NH","Yaounde",NA,NA,NA,NA,2015-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Babyyaou2014"
296,"Baby Suzy 2014","BSuz14",NA,NA,NA,2014-10-11,2014-10-11,NA,NA,"LT","Suzy",NA,NA,NA,NA,2015-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Babysuzy2014"
297,"Arno","Arn",NA,"M",NA,2014-10-17,2014-10-17,NA,NA,"KB","Amazon",NA,2019-05-13,NA,NA,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Arno"
298,"Baby Nala 2014","BNal14",NA,NA,NA,2014-10-18,2014-10-18,NA,NA,"LT","Nala",NA,NA,NA,NA,2015-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Babynala2014"
299,"Eina","Eina",NA,"F",NA,2014-10-18,2014-10-18,NA,"BD","BD","Engel","Okucane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Eina"
300,"Ginqinka","Ginq",NA,"F",NA,2014-10-18,2014-10-18,NA,"AK","AK","Gagasa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ginqinka"
301,"Halfy","Hal",NA,"M",NA,NA,2014-10-18,NA,NA,"LT",NA,NA,NA,"FirstLTsplinter",NA,2015-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Only mentioned once on first recorded date and no other data, seen in splinter group July 2015 ","Halfy"
302,"Hluhluwe","Hlu",NA,"M",NA,2014-10-18,2014-10-18,NA,NA,"AK","Hleka",NA,2020-02-27,NA,NA,2020-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hluhluwe"
303,"Rupert","Rup",NA,"M",NA,2014-10-18,2014-10-18,NA,NA,"LT","Roxanne",NA,2018-02-21,"LTsplit",NA,2018-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Rupert"
304,"Baby Jenn 2014","BJen14",NA,NA,NA,2014-10-20,2014-10-20,NA,NA,"LT","Jenny",NA,NA,NA,NA,2015-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"presumed dead","Babyjenn2014"
305,"Gaaf","Gaa",NA,"M",NA,2014-10-20,2014-10-20,NA,NA,"BD","Gesels","Okucane",2019-06-08,"CR",NA,2019-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Immigration date is not clear but last seen was  2019/06/18 during an encounter with BD and he was still with crossing and after that he has no records with crossing.","Gaaf"
306,"Plesier","Ples",NA,"F",NA,2014-10-20,2014-10-20,NA,NA,"BD","Prinses",NA,NA,NA,NA,2016-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead, body not found.","Plesier"
307,"Mathimula","Mat",NA,"M",NA,2014-10-21,2014-10-21,NA,NA,"AK","Mamoobi",NA,2020-02-17,"BD",2020-02-17,2021-01-30,"BD",2021-02-24,2021-10-29,NA,NA,NA,NA,NA,NA,NA,"last seen in BD 30/01/2021 then reappeared in BD after an encounter with CR on 24/02/2021","Mathimula"
308,"BabyTere (F10) 2014","BF1014",NA,NA,NA,2014-10-22,2014-10-22,NA,NA,"LT","Tere (F10)",NA,NA,NA,NA,2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Babytere2014"
309,"Baby Mielies 2014","BMie14",NA,NA,NA,2014-10-27,2014-10-27,NA,NA,"BD","Mielies",NA,NA,NA,NA,2014-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Babymielies2014"
310,"Jeddah","Jed",NA,"M",NA,2014-10-27,2014-10-27,NA,NA,"NH","Jakarta",NA,2017-03-08,NA,NA,2017-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bottom injuries bleeding, very weak, injuries appeared several months before last sighting","Jeddah"
311,"Meerkat","Mee",NA,"M",NA,2014-10-27,2014-10-27,NA,NA,"BD","Mooi","Arthur",2016-11-24,NA,NA,2016-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead, body not found. Recorded 3 times in months after official last seen date - probably errors","Meerkat"
312,"Baby Vict 2014","BVic14",NA,"M",NA,2014-10-28,2014-10-28,NA,NA,"LT","Victoria",NA,2015-01-16,NA,NA,2015-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Babyvict2014"
313,"Faroe","Far",NA,"M",NA,2014-10-28,2014-10-28,NA,NA,"CR","Formentera",NA,2016-01-30,NA,NA,2016-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born 2014, Dead 2016 - prob error logbook as last seen date = 2017 there","Faroe"
314,"Formentera","Form",NA,"F",NA,NA,2014-10-28,NA,NA,"CR",NA,NA,NA,"SplitCR",2017-01-12,2017-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Formentera"
315,"Kangaroo",NA,NA,NA,NA,2014-10-28,2014-10-28,NA,NA,"CR","Krakatoa",NA,NA,NA,NA,2017-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born 2014, Dead, unclear if body found","Kangaroo"
316,"Krakatoa","Krak",NA,"F",NA,NA,2014-10-28,NA,NA,"CR",NA,NA,NA,"SplitCR",2017-01-12,2017-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Krakatoa"
317,"Lancey","Lanc",NA,"F",NA,2014-10-29,2014-10-29,NA,"LT","LT","Laurel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Lancey"
318,"Roxanne","Roxa",NA,"F","2",NA,2014-10-30,NA,NA,"LT",NA,NA,2018-02-21,"LTsplit",NA,2018-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably dominant female in split group","Roxanne"
319,"Toulouse","Tou",NA,"M","1",2014-10-30,2014-10-30,NA,NA,"NH","Troia","Ertjies",2016-04-14,NA,NA,2016-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split group, recorded in logbook month after in NH but likely a mistake","Toulouse"
320,"Ghida","Ghid",NA,"F",NA,2014-10-31,2014-10-31,NA,"AK","AK","Ghangaan","Elton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ghida"
321,"Heilweis","Hei",NA,"M",NA,2014-10-31,2014-10-31,NA,"CR","BD","Heerlik",NA,2019-06-08,"CR",2021-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seen with CR but date of immigration might not be exact as gp not habituated/not followed when he probably moved there","Heilweis"
322,"Nyanga","Nyan",NA,"F",NA,2014-10-31,2014-10-31,NA,NA,"AK","Nkosikasi","Elton",NA,NA,NA,2021-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Nyanga"
323,"Gubha","Gubh",NA,"F",NA,2014-11-01,2014-11-01,NA,"AK","AK","Gugu","Elton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Gubha"
324,"Ndiza","Ndi",NA,"M","20",2014-11-01,2014-11-01,NA,NA,"AK","Ndonsa",NA,2020-03-05,NA,NA,2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ndiza"
325,"Baby Bushy 2014","BBus14",NA,NA,NA,2014-11-03,2014-11-03,NA,NA,"LT","Bushy",NA,NA,NA,NA,2015-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Babybushy2014"
326,"Baby Jink 2014","BJin14",NA,NA,NA,2014-11-03,2014-11-03,NA,NA,"NH","Jinka",NA,NA,NA,NA,2014-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baby Found dead","Babyjink2014"
327,"Baby Pannekoekie 2014","BPan14",NA,NA,NA,2014-11-03,2014-11-03,NA,NA,"BD","Pannekoekie",NA,NA,NA,NA,2014-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Babypannekoekie2014"
328,"Ihlane","Ihl",NA,"M",NA,2014-11-03,2014-11-03,NA,NA,"AK","Isilonda",NA,2016-02-29,"IFamily",2016-04-29,2017-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ifamily not followed regurlarly","Ihlane"
329,"Safari","Safa",NA,"F",NA,2014-11-03,2014-11-03,NA,NA,"BD","Snortjie",NA,NA,NA,NA,2017-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Safari"
