"AnimalName","AnimalCode","DOB","FirstDate","DOB_estimate","Age_yr","Age_class"
"Gollum",NA,NA,NA,NA,NA,NA
"Gosh",NA,NA,NA,NA,NA,NA
"Heart",NA,NA,NA,NA,NA,NA
"Imposter","Imp",NA,NA,"2013-05-22",NA,"adult"
"Jamaica","Jama",NA,NA,NA,NA,NA
"Kurt Cubain","Kur",NA,NA,NA,NA,NA
"Little Notch",NA,NA,NA,NA,NA,NA
"Madonna","Mado",NA,NA,NA,NA,NA
"Nostrils",NA,NA,NA,NA,NA,NA
"Pitcairn","Pit",NA,NA,NA,NA,NA
"Red Hot","Red",NA,NA,NA,NA,NA
"SF2",NA,NA,NA,NA,NA,NA
"Small Eyes",NA,NA,NA,NA,NA,NA
"Tasmania","Tasmania",NA,NA,NA,NA,NA
"Wierdo","Wier",NA,NA,NA,NA,NA
"Ndlovu","Ndl",2021-11-02,2021-11-02,"2021-11-02",2.04,"juvenile"
"Nkomo","Nko",2021-11-04,2021-11-04,"2021-11-04",2.03,"juvenile"
"Gomonqo","Gom",2021-11-03,2021-11-03,"2021-11-03",2.03,"juvenile"
"Gobela","Gobe",2021-11-12,2021-11-12,"2021-11-12",2.01,"juvenile"
"Nyala","Nyal",2021-11-05,2021-11-05,"2021-11-05",2.03,"juvenile"
"Baby Ndaw 2021","BNda21",2021-11-18,2021-11-18,"2021-11-18",1.99,"juvenile"
"Askies","Ask",2021-10-27,2021-10-27,"2021-10-27",2.05,"juvenile"
"Padkos","Padk",2021-10-27,2021-10-27,"2021-10-27",2.05,"juvenile"
"Eier","Eie",2021-11-02,2021-11-02,"2021-11-02",2.04,"juvenile"
"Haaigranaat","Haai",2021-11-04,2021-11-04,"2021-11-04",2.03,"juvenile"
"Hemel","Hem",2021-11-04,2021-11-04,"2021-11-04",2.03,"juvenile"
"Omelet","Ome",2021-11-04,2021-11-04,"2021-11-04",2.03,"juvenile"
"Purper","Pur",2021-11-05,2021-11-05,"2021-11-05",2.03,"juvenile"
"Nooit","Noo",2021-11-09,2021-11-09,"2021-11-09",2.02,"juvenile"
"Slang","Sla",2021-11-09,2021-11-09,"2021-11-09",2.02,"juvenile"
"Renoster","Reno",NA,2021-11-15,"2021-11-15",NA,"juvenile"
"Rimpel","Rimp",2021-11-18,2021-11-18,"2021-11-18",1.99,"juvenile"
"Sampion","Samp",NA,2021-11-22,"2021-11-22",NA,"juvenile"
"Sitrus","Sitr",2021-11-18,2021-11-18,"2021-11-18",1.99,"juvenile"
"Miskien","Misk",2021-11-19,2021-11-19,"2021-11-19",1.99,"juvenile"
"Spek","Spe",2021-11-13,2021-11-13,"2021-11-13",2.01,"juvenile"
"Baby Oerw 2021","BOer21",NA,2021-12-06,NA,NA,NA
"Grive","Griv",2021-11-03,2021-11-03,"2021-11-03",2.03,"juvenile"
"Galeria","Gale",2021-11-05,2021-11-05,"2021-11-05",2.03,"juvenile"
"Baby Guat 2021","BGua21",2021-11-02,2021-11-02,"2021-11-02",2.04,"juvenile"
"Xihau","Xih",2021-10-21,2021-10-21,"2021-10-21",2.07,"juvenile"
"Xarès","Xar",NA,2021-11-08,"2019-11-16",NA,"sub-adult"
"Bethlehem","Bet",NA,2021-11-08,"2019-11-16",NA,"sub-adult"
"Utica","Utic",2021-11-06,2021-11-06,"2021-11-06",2.03,"juvenile"
"Rivas","Riva",NA,2021-11-08,"2021-11-08",NA,"juvenile"
"Rafaela","Rafa",2021-11-02,2021-11-02,"2021-11-02",2.04,"juvenile"
"Bougainville","Bou",NA,2021-03-24,"2019-11-16",NA,"sub-adult"
"Yamp","Yam",NA,2021-11-16,"2019-11-16",NA,"sub-adult"
"Yodo","Yodo",NA,2021-10-03,"2021-10-03",NA,"juvenile"
"Montreal","Mon",NA,2021-10-25,"2019-11-16",NA,"sub-adult"
"Gasket","Gas",NA,2021-10-25,"2019-11-16",NA,"sub-adult"
"Baby DodgyKnee 2021","BBDod21",NA,2021-12-03,NA,NA,NA
"Baby Kodi 2021","BBKodi21",NA,2021-12-03,NA,NA,NA
"Tiki","Tik",NA,2021-11-30,"2021-11-30",NA,"juvenile"
"Baby Zuni  2021","BBFZuni21",NA,2021-11-11,NA,NA,NA
"Baby Goose 2021","BBGoo21",NA,2021-11-11,NA,NA,NA
"Bahamas","Baha",NA,2021-11-27,"2021-11-27",NA,"juvenile"
"Nihiru","Nihi",NA,2021-11-09,"2021-11-09",NA,"juvenile"
"Clarence","Clar",NA,2021-07-28,"2021-07-28",NA,"juvenile"
"Barry","Barr",NA,2021-07-28,"2021-07-28",NA,"juvenile"
"Nora","Nora",NA,2021-07-28,"2021-07-28",NA,"juvenile"
"Disco","Dis",2021-11-21,2021-11-21,"2021-11-21",1.98,"juvenile"
"Danielle","Dani",2021-11-22,2021-11-22,"2021-11-22",1.98,"juvenile"
"Delux","Del",NA,2021-12-11,"2019-11-16",NA,"sub-adult"
"Baby Dewe 2021","BBDew21",2021-11-16,2021-11-16,"2021-11-16",2,"juvenile"
"Derrick","Der",NA,2021-12-11,NA,NA,NA
"Daila","Dail",2021-11-20,2021-11-20,"2021-11-20",1.99,"juvenile"
"Lola","Lola",NA,2021-12-03,"2021-12-03",NA,"juvenile"
"Lucifer","Luc",NA,2021-12-11,"2019-11-16",NA,"sub-adult"
"Yub","Yub",2021-12-21,2021-12-21,"2021-12-21",1.9,"juvenile"
"Elbar","Elba",NA,2021-07-28,"2021-07-28",NA,"juvenile"
"Skhumbuzo","Skh",NA,2021-06-15,"2017-06-15",NA,"adult"
"Nugget","Nug",NA,2021-10-26,NA,NA,NA
"Xenia","Xeni",2020-11-03,2020-11-03,"2020-11-03",3.03,"juvenile"
"Pofferthie","Poff",2018-10-26,2018-10-26,"2018-10-26",5.06,"adult"
"Capri","Cap",NA,2022-03-28,"2019-11-16",NA,"sub-adult"
"Baby Nyanga 2020","BNya20",2020-11-21,2020-11-21,"2020-11-21",2.98,"juvenile"
"Baby Yalu 2020","Byalu",NA,2020-12-01,NA,NA,NA
"Baby Kodiak 2020","Bkod20",NA,2021-04-16,NA,NA,NA
"Primavera","Prim",NA,2021-10-28,"2021-10-28",NA,"juvenile"
"Furry Glen","Fur",NA,2022-03-19,"2018-03-19",NA,"adult"
"Nelson","Nel",NA,2022-03-17,"2018-03-17",NA,"adult"
"Vryheid","Vry",NA,2022-06-10,"2018-06-10",NA,"adult"
"Ermelo","Erm",NA,2022-06-16,"2018-06-16",NA,"adult"
"NewMale3","NewMale3",NA,2022-06-16,"2018-06-16",NA,"adult"
"Eivissa","Eiv",NA,2022-06-09,"2018-06-09",NA,"adult"
"Hawai","Haw",NA,2022-06-11,"2018-06-11",NA,"adult"
"Ryan","Rya",NA,2022-07-06,"2018-07-06",NA,"adult"
"Zeus","Zeu",NA,2022-06-28,"2018-06-28",NA,"adult"
"Hera","Hera",NA,2022-06-28,NA,NA,NA
"Medusa","Medu",NA,2022-06-28,NA,NA,NA
"Freyja","Frey",NA,2022-06-28,NA,NA,NA
"Athena","Athe",NA,2022-06-28,NA,NA,NA
"Circe","Circ",NA,2022-06-28,NA,NA,NA
"Pandora","Pand",NA,2022-06-28,NA,NA,NA
"Dakar","Dak",NA,2022-09-10,"2018-09-10",NA,"adult"
"Stanley","Sta",NA,2022-07-29,"2018-07-29",NA,"adult"
"BBCirc21","BBCirc21",NA,2022-06-28,NA,NA,NA
"BBInhl21","BBInhl21",NA,2022-06-28,NA,NA,NA
"JUV1","JUV1",NA,2022-06-28,NA,NA,NA
"JUV2","JUV2",NA,2022-06-28,NA,NA,NA
"Mandy","Man",NA,2022-09-22,"2018-09-22",NA,"adult"
"Knysna","Kny",NA,2022-10-17,"2018-10-17",NA,"adult"
"BBXian22","BBXian22",2022-10-21,2022-10-21,"2022-10-21",1.07,"juvenile"
"Angara","Ang",2022-10-26,2022-10-26,"2022-10-26",1.06,"juvenile"
"Alabama","Alab",NA,2022-10-31,"2022-10-31",NA,"juvenile"
"Grimsby","Grim",2022-11-04,2022-11-04,"2022-11-04",1.03,"juvenile"
"Gloed","Glo",2022-11-04,2022-11-04,"2022-11-04",1.03,"juvenile"
"BBInhl22","BBInhl22",NA,2022-11-04,NA,NA,NA
"BBDigb22","BBDigb22",NA,2022-11-04,NA,NA,NA
"BBMara22","BBMara22",NA,2022-11-05,NA,NA,NA
"Yentna","Yent",NA,2022-11-14,"2022-11-14",NA,"juvenile"
"Guadalajara","Gua",2022-11-08,2022-11-08,"2022-11-08",1.02,"juvenile"
"BBOort22","BBOort22",NA,2022-11-15,NA,NA,NA
"BBDian22","BBDian22",NA,2022-11-10,NA,NA,NA
"BBDewe22","BBDewe22",NA,2022-11-18,NA,NA,NA
"Yakima","Yaki",NA,2022-11-17,"2022-11-17",NA,"juvenile"
"Yuba","Yuba",NA,2022-11-19,"2022-11-19",NA,"baby"
"Olyf","Olyf",NA,2022-11-15,"2022-11-15",NA,"juvenile"
"Atjar","Atj",2022-11-18,2022-11-18,"2022-11-18",0.99,"baby"
"BBBali22","BBBali22",NA,2022-12-06,NA,NA,NA
"BBMedu22","BBMedu22",NA,2022-11-11,NA,NA,NA
"Apollo","Apo",NA,2022-11-17,NA,NA,NA
"BBGran22","BBGran22",NA,2022-11-21,NA,NA,NA
"Oase","Oase",2022-11-19,2022-11-19,"2022-11-19",0.99,"baby"
"Pruin","Prui",NA,2022-11-22,"2022-11-22",NA,"baby"
"Prague","Prag",2022-11-26,2022-11-26,"2022-11-26",0.97,"baby"
"Persephone","Pers",NA,2022-11-25,NA,NA,NA
"Nagapie","Naga",2022-11-29,2022-11-29,"2022-11-29",0.96,"baby"
"Udine","Udi",2022-11-30,2022-11-30,"2022-11-30",0.96,"baby"
"Knoffel","Kno",NA,2022-11-07,"2018-11-07",NA,"adult"
"Ncane","Nca",NA,2022-12-01,NA,NA,NA
"BBNdaw22","BBNdaw22",NA,2022-12-03,NA,NA,NA
"Ndini","Ndin",NA,2022-12-03,"2022-12-03",NA,"baby"
"BBDaen22","BBDaen22",NA,2022-11-24,NA,NA,NA
"Ekse","Ekse",2022-12-07,2022-12-07,"2022-12-07",0.94,"baby"
"Herskep","Her",2022-12-07,2022-12-07,"2022-12-07",0.94,"baby"
"Galiano","Gal",NA,2022-12-02,NA,NA,NA
"Madeline","Made",NA,2022-12-02,"2022-12-02",NA,"baby"
"BBNiha22","BBNiha22",NA,2022-12-02,NA,NA,NA
"Rosyn","Ros",NA,2022-12-07,NA,NA,NA
"Goat","Goa",NA,2022-12-08,NA,NA,NA
"Luna","Luna",NA,2022-12-06,"2022-12-06",NA,"baby"
"Xativa","Xati",2022-12-07,2022-12-07,"2022-12-07",0.94,"baby"
"Rishikesh","Ris",2022-12-14,2022-12-14,"2022-12-14",0.92,"baby"
"Gabaroni","Gab",2022-12-15,2022-12-15,"2022-12-15",0.92,"baby"
"Rooibos","Rooi",2022-12-17,2022-12-17,"2022-12-17",0.91,"baby"
"Gijima","Giji",NA,2022-12-29,"2022-12-29",NA,"baby"
"Otter","Ott",NA,2022-12-26,NA,NA,NA
"Lotus","Lotu",NA,2022-12-22,"2022-12-22",NA,"baby"
"Vesuvio","Ves",NA,NA,NA,NA,NA
"BBHera22","BBHera22",NA,2023-01-18,NA,NA,NA
"Bobjaan","Bob",NA,2023-04-08,"2019-04-08",NA,"sub-adult"
"Pikkewyn","Pikk",NA,2022-12-10,"2022-12-10",NA,"baby"
"Cairo","Cai",NA,2023-03-25,"2019-03-25",NA,"sub-adult"
"Havana","Hav",NA,2023-03-25,"2019-03-25",NA,"sub-adult"
"Sango","San",NA,2023-04-10,"2019-04-10",NA,"sub-adult"
"Thor","Tho",NA,2023-04-24,"2019-04-24",NA,"sub-adult"
"Totsiens","Tot",NA,2023-04-14,"2019-04-14",NA,"sub-adult"
"Winter","Win",NA,2023-04-15,"2019-04-15",NA,"sub-adult"
"Braai","Bra",NA,2023-04-17,"2019-04-17",NA,"sub-adult"
"Driehoek","Dri",NA,2023-05-10,"2019-05-10",NA,"sub-adult"
"Splotch","Spl",NA,2023-05-26,"2019-05-26",NA,"sub-adult"
"Boom","Boo",NA,2023-07-15,"2019-07-15",NA,"sub-adult"
"BBXala23","BBXala23",2023-08-08,2023-08-08,"2023-08-08",0.27,"baby"
"BBXimp23","BBXimp23",2023-07-13,2023-07-13,"2023-07-13",0.34,"baby"
"BBGran23","BBGran23",2023-08-18,2023-08-18,"2023-08-18",0.25,"baby"
"BBNkos23","BBNkos23",2023-09-06,2023-09-06,"2023-09-06",0.19,"baby"
"BBRegi23","BBRegi23",2023-09-12,2023-09-12,"2023-09-12",0.18,"baby"
"BBGree23","BBGree23",2023-09-13,2023-09-13,"2023-09-13",0.18,"baby"
"Right Notch Guy",NA,NA,2023-09-16,NA,NA,NA
"BBNaal23","BBNaal23",2023-09-19,2023-09-19,"2023-09-19",0.16,"baby"
"BBPann23","BBPann23",NA,2023-09-23,NA,NA,NA
"BBAare23","BBAare23",2023-09-25,2023-09-25,"2023-09-25",0.14,"baby"
"BBAara23","BBAara23",2023-09-26,2023-09-26,"2023-09-26",0.14,"baby"
"BBYara23","BBYara23",NA,2023-09-30,NA,NA,NA
"BBFrey23","BBFrey23",NA,2023-10-01,NA,NA,NA
"BBMedu23","BBMedu23",NA,2023-10-01,NA,NA,NA
"BBPand23","BBPand23",NA,2023-10-09,NA,NA,NA
"Axomamma","Axom",2023-10-05,2023-10-06,"2023-10-05",0.11,"baby"
"BBCirc23","BBCirc23",2023-10-05,2023-10-06,"2023-10-05",0.11,"baby"
"BBPrat23","BBPrat23",2023-10-07,2023-10-07,"2023-10-07",0.11,"baby"
"BBYelo23","BBYelo23",NA,2023-10-09,NA,NA,NA
"BBGinq23","BBGinq23",NA,2023-10-01,NA,NA,NA
"BBSkem23","BBSkem23",2023-10-05,2023-10-05,"2023-10-05",0.11,"baby"
"BBDore23","BBDore23",NA,2023-10-10,NA,NA,NA
"BBYamu23","BBYamu23",NA,2023-10-16,NA,NA,NA
"BBInhl23","BBInhl23",NA,2023-10-16,NA,NA,NA
"BBGubh23","BBGubh23",NA,2023-10-17,NA,NA,NA
"BBMack23","BBMack23",NA,2023-10-20,NA,NA,NA
"BBHoley23","BBHoley23",NA,2023-11-03,NA,NA,NA
"BBSari23","BBSari23",NA,2023-11-01,NA,NA,NA
"BBNdon23","BBNdon23",2023-11-02,2023-11-02,"2023-11-02",0.04,"baby"
"BBSirk23","BBSirk23",NA,2023-11-04,NA,NA,NA
"BBYuko23","BBYuko23",NA,2023-11-03,NA,NA,NA
"BBNooi23","BBNooi23",2023-11-03,2023-11-03,"2023-11-03",0.04,"baby"
"BBPuol23","BBPuol23",NA,2023-11-06,NA,NA,NA
"BBNiha23","BBNiha23",NA,2023-11-06,NA,NA,NA
"BBBali23","BBBali23",NA,2021-11-10,NA,NA,NA
